connection.py              599 INFO     Connecting to 192.168.7.111:2181
client.py                  458 INFO     Zookeeper connection established, state: CONNECTED
transport.py              1746 INFO     Connected (version 2.0, client OpenSSH_6.6.1)
transport.py              1746 INFO     Authentication (publickey) failed.
transport.py              1746 INFO     Authentication (password) successful!
transport.py              1746 INFO     Connected (version 2.0, client OpenSSH_6.6.1)
transport.py              1746 INFO     Authentication (publickey) failed.
transport.py              1746 INFO     Authentication (password) successful!
transport.py              1746 INFO     Connected (version 2.0, client OpenSSH_6.6.1)
transport.py              1746 INFO     Authentication (publickey) failed.
transport.py              1746 INFO     Authentication (password) successful!
transport.py              1746 INFO     Connected (version 2.0, client OpenSSH_6.6.1)
transport.py              1746 INFO     Authentication (publickey) failed.
transport.py              1746 INFO     Authentication (password) successful!
transport.py              1746 INFO     Connected (version 2.0, client OpenSSH_6.6.1)
transport.py              1746 INFO     Authentication (publickey) failed.
transport.py              1746 INFO     Authentication (password) successful!
transport.py              1746 INFO     Connected (version 2.0, client OpenSSH_6.6.1)
transport.py              1746 INFO     Authentication (publickey) failed.
transport.py              1746 INFO     Authentication (password) successful!
transport.py              1746 INFO     Connected (version 2.0, client OpenSSH_6.6.1)
transport.py              1746 INFO     Authentication (publickey) failed.
transport.py              1746 INFO     Authentication (password) successful!
transport.py              1746 INFO     Connected (version 2.0, client OpenSSH_6.6.1)
transport.py              1746 INFO     Authentication (publickey) failed.
transport.py              1746 INFO     Authentication (password) successful!
transport.py              1746 INFO     Connected (version 2.0, client OpenSSH_6.6.1)
transport.py              1746 INFO     Authentication (publickey) failed.
transport.py              1746 INFO     Authentication (password) successful!
transport.py              1746 INFO     Connected (version 2.0, client OpenSSH_6.6.1)
transport.py              1746 INFO     Authentication (publickey) failed.
transport.py              1746 INFO     Authentication (password) successful!
transport.py              1746 INFO     Connected (version 2.0, client OpenSSH_6.6.1)
transport.py              1746 INFO     Authentication (publickey) failed.
transport.py              1746 INFO     Authentication (password) successful!
