"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","必测用例","Platform-fsp_sss-1710:OC跨国不走专线收发音视频，共享媒体文件，共享桌面声音","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1694:三台sc有一台处理业务时崩溃不重启，对其他服务无影响","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1720:关闭屏幕共享时，关闭音频广播","0","0","0","1","0"
"","必测用例","Platform-fsp_sss-1706:NC&OC单个gs收发音视频，共享媒体文件，共享桌面声音","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1692:服务崩溃后守护进程能够自动拉起","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1693:三台gc有一台处理业务时崩溃不重启，对其他服务无影响","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1709:NC&OC级联gs收发音视频，共享媒体文件，共享桌面声音","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1723:同一个vnc-gs","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1690:服务器版本检查","0","1","0","0","0"
"","必测用例","Platform-fsp_sss-1697:主ms崩溃不重启，对其他服务无影响，从ms接替业务处理","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1707:OC级联gs收发音视频，共享媒体文件，共享桌面声音","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1705:NC单个ss收发音视频，共享媒体文件，共享桌面声音","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1719:屏幕共享打开音视频，播放-暂停-播放","0","0","0","1","0"
"","必测用例","Platform-fsp_sss-1714:NC跨国走专线收发音视频，共享媒体文件，共享桌面声音","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1703 : ma上报的负载信息正确","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1708:NC级联ss收发音视频，共享媒体文件，共享桌面声音","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1701:MS给MA下发任务，所有的MA都收到并且执行了任务","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1724:vnc_gs1 -> n-ss -> vnc_gs2","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1715:OC&NC跨国走专线收发音视频，共享媒体文件，共享桌面声音","1","0","0","0","0"
"","必测用例","Platform-fsp_sss-1718:新入会用户接收耗时测试","1","0","0","0","0"
"","必测用例","Platform-fsp_sss-1713:OC跨国走专线收发音视频，共享媒体文件，共享桌面声音","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1699:边缘ss崩溃不重启，NC能重连新的边缘ss节点","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1712:OC&NC跨国不走专线收发音视频，共享媒体文件，共享桌面声音","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1700:中转ss崩溃不重启，NC会连接新上级ss，OC会重连其他topo值最小的中转ss","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1698:gs崩溃后重启，NC能够重连原来的gs，OC需重新登录","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1717:paas用户级联ss收发音视频","0","0","0","1","0"
"","必测用例","Platform-fsp_sss-1695:两台rule有一台处理业务时崩溃不重启，对其他服务无影响","1","0","0","0","0"
"","必测用例","Platform-fsp_sss-1696:node1的ice_server崩溃不重启，node2的ice_server接替业务处理","0","1","0","0","0"
"","必测用例","Platform-fsp_sss-1704:OC单个gs收发音视频，共享媒体文件，共享桌面声音","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1725:vnc_gs1 -> n-ss1 -> n-ss2 -> vnc_gs2","0","0","0","1","0"
"","必测用例","Platform-fsp_sss-1691:服务器重启后能够正常运行和处理业务","0","0","1","0","0"
"","必测用例","Platform-fsp_sss-1716:paas用户单个ss收发音视频","0","0","0","1","0"
"","必测用例","Platform-fsp_sss-1711:NC跨国不走专线收发音视频，共享媒体文件，共享桌面声音","0","0","1","0","0"
