tag,name,node_order,details,internalid,externalid,summary,steps,expectedresults
屏幕共享,,4,None,,,,,
非级联,,1,None,,,,,
文档模式,,1,None,,,,,
testcase,弱网用户小于阈值，屏幕共享，播放视频,1111034408,,324336,332,None,1.屏幕共享-桌面共享-文档模式2.使用工具使弱网用户小于阈值3.播放视频4.查看服务器和客户端的日志5.看观看端的视频画面质量,1.服务器发送提升码率的通知，统计用户人数正确2.主讲端收到提升码率的通知，并升档3.弱网用户观看端屏幕共享可以看清楚画面，但会有卡顿4.非弱网用户观看端的屏幕共享画面清晰、无明显卡顿
testcase,弱网用户小于阈值，屏幕共享，打开文档,1111034408,,324339,333,None,1.屏幕共享-桌面共享-文档模式2.使用工具使弱网用户小于阈值3.打开文档.doc或.ppt4.查看服务器和客户端的日志5.看观看端的文档质量,1.服务器发送提升码率的通知，统计用户人数正确2.主讲端收到提升码率的通知，并升档3.弱网用户观看端屏幕共享可以看到文档，ppt动画有卡顿4.非弱网用户观看端的屏幕共享可以清晰看到文档，ppt动画无明显卡顿
testcase,弱网用户大于阈值，屏幕共享，播放视频,1111034408,,324342,334,None,1.屏幕共享-桌面共享-文档模式2.使用工具使弱网用户大于阈值3.播放视频4.查看服务器和客户端的日志6.看观看端的文档质量,1.服务器发送降低码率的通知，统计用户人数正确2.主讲端收到降低码率的通知，并降档3.用户观看端的屏幕共享画面清晰、无明显卡顿
testcase,弱网用户大于阈值，屏幕共享，打开文档,1111034408,,324345,335,None,1.屏幕共享-桌面共享-文档模式2.使用工具使弱网用户大于阈值3.打开文档.doc或.ppt4.查看服务器和客户端的日志7.看观看端的文档质量,1.服务器发送降低码率的通知，统计用户人数正确2.主讲端收到降低码率的通知，并降档3用户观看端的屏幕共享可以清晰看到文档，ppt动画无明显卡顿
testcase,弱网用户大于阈值，客户端降档后，仍大于阈值，屏幕共享测试,1111034408,,324348,336,None,1.主讲屏幕共享--文档/视频模式2.使用工具，使观看用户中弱网用户大于阈值3.打开文档/播放视频4.当客户端降档后，仍大于阈值时，服务器是否会继续通知客户端降档5.弱网和非弱网用户观看端端画面是否可看清楚，无明显卡顿,1、降档后仍大于阈值，服务器会继续发送降档信息给客户端2、弱网和非弱网用户观看端端画面可看清楚，无明显卡顿
testcase,服务器通知间隔时间内，弱网用户由小于阈值变为大于阈值,1111034408,,324351,337,None,"
	1.主讲屏幕共享--文档/视频模式
	2.使用工具，使观看用户中弱网用户小于阈值
	3.打开文档/播放视频
	4.等待客户端接收到服务器通知消息，提升码率
	5.在下一次服务器通知时间间隔内，调整弱网用户比例大于阈值后，再调到小于阈值，并维持
	6.查看服务器通知客户端信息是否正确
	7.客户端是否继续提升码率，观看端画质是否有提高","
	1、服务器无视15s内的网络变化，无降档通知
	2、弱网和非弱网用户观看端屏幕共享可以看清楚画面

	3、弱网观看端在弱网时有卡顿，后面又恢复流畅

	"
testcase,服务器通知间隔时间内，弱网用户由大于阈值变为小于阈值,1111034408,,324354,338,None,"
	1、主讲屏幕共享--文档/视频模式
	2、使用工具，使观看用户中弱网用户小于阈值
	3、等待客户端接收到服务器通知消息，提升码率
	4、在下一次服务器通知时间间隔内，调整弱网用户比例大于阈值后，再调到小于阈值，并维持
	5、查看服务器通知客户端信息是否正确
	6、客户端是否继续提升码率，观看端画质是否有提高","
	1、服务器无视15s内的网络变化，无升档通知
	2、弱网和非弱网用户观看端屏幕共享可以看清楚画面，略有卡顿"
testcase,屏幕共享后，新登录用户接收到共享画面的时间测试,1111034408,,324357,339,None,1、主讲屏幕共享--文档/视频模式2、观看端接收到共享画面之后，新登录观看用户3、查看新登录的观看用户接收到共享画面的时间,1、新登录的观看用户应在5秒左右接收到屏幕共享画面，画面清晰无卡顿
testcase,屏幕共享时，会议总人数变化时，服务器通知测试,1111034408,,324360,340,None,1、主讲屏幕共享--文档/视频模式--播放视频2、分别查看在线的观看用户退出和新观看用户登录时，服务器是否会通知客户端，以及通知信息是否正确,1、会议总人数发生变化时，服务器会通知客户端且信息正确
testcase,主讲端上行网络差测试,1111034408,,324363,341,None,1、主讲屏幕共享--文档/视频模式--播放视频2.使用工具使主讲端上行网络变差3.查看日志，主讲端是否会忽视服务器升档通知，自行降档,1、当主讲端发送缓冲区数据大于阈值时，客户端会忽略服务器通知，而降低档位2、观看端画面看得清楚，略有卡顿
testcase,服务器资源使用情况测试,1111034408,,324369,343,None,1、主讲屏幕共享--文档/视频模式--播放视频2、查看服务器资源使用是否正常,1、服务器资源使用正常（CPU、内存）
testcase,多个会议室同事进行屏幕共享，服务器统计的人数,1111034408,,324372,344,None,1.打开多个会议室，每个会议都开启屏幕共享2.主讲屏幕共享--文档/视频模式--播放视频3.查看服务器统计人数是否正确,1.服务器正确统计每个会议室观看端的人数
